clade_name	MS11669_jun23_nreads	MS11670_jun23_nreads	MS11673_jun23_nreads	MS11674_jun23_nreads	MS11675_jun23_nreads	MS11676_jun23_nreads	MS11677_jun23_nreads	MS11678_jun23_nreads	MS11679_jun23_nreads	MS11683_jun23_nreads	MS11684_jun23_nreads	MS11686_jun23_nreads	MS11770_jun23_nreads	MS11771_jun23_nreads	MS11774_jun23_nreads	MS11775_jun23_nreads
s__Blautia_wexlerae	0.0	0.0551	0.0	0.0	0.0	0.0	0.0	0.0673	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__GGB4577_SGB6327	0.0	0.05262	0.0	0.0	0.0	0.0	0.0	0.34342	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Clostridium_uliginosum	0.0	0.05089	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__GGB4684_SGB6476	0.0	0.04868	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__GGB1492_SGB2067	0.0	0.04698	0.0	0.0	0.0582	0.03478	0.0	0.09715	0.09891	0.08619	0.0	0.0	0.16594	0.0	0.17298	0.0
s__Oscillospiraceae_bacterium_CLA_AA_H250	0.0	0.04557	0.0	0.0	0.0	0.0	0.0	0.03801	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__GGB3105_SGB4114	0.0	0.04472	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08109	0.0	0.0	0.0
s__GGB1615_SGB2212	0.0	0.04148	0.0	0.0	0.0	0.0	0.0	0.51806	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Mediterraneibacter_sp_NSJ_151	0.0	0.04114	0.0	0.0	0.0	0.0	0.0	0.02984	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Falcatimonas_sp_MSJ_15	0.0	0.04091	0.0	0.0	0.0	0.0	0.0	0.00041	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__GGB4593_SGB6353	0.0	0.04058	0.0	0.0	0.75235	0.0438	0.01097	0.06954	0.0	0.0	0.46709	2.06861	0.02156	0.0256	3.02329	0.19014
s__Faecalimonas_umbilicata	0.0	0.0375	0.46971	0.03547	0.46867	1.19902	0.0	0.0	0.37037	0.57482	0.67775	0.16718	0.06861	0.11071	1.63023	1.64124
s__Bacteroides_finegoldii	0.0	0.03657	0.0	0.0	0.01029	0.00208	0.38596	0.06641	0.03026	0.06045	0.05026	0.23676	0.04378	0.0	0.35223	0.7698
s__Prevotella_pectinovora	0.0	0.03598	0.0	0.0	0.0	0.0	0.0	0.38827	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__GGB34476_SGB65958	0.0	0.03596	1.52882	0.09069	0.45069	0.19542	0.0	0.22508	0.2734	0.41303	0.78401	0.06227	0.09041	0.00541	1.51562	1.11193
s__Romboutsia_timonensis	0.0	0.03526	0.0	0.0	0.0	0.09105	0.0	0.55827	0.0	0.0	0.0	0.0	0.14201	0.0	0.0	0.0
s__Simplicispira_sp_110	0.0	0.03109	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Beduini_massiliensis	0.0	0.03017	0.0	0.0	0.09464	0.0	0.0	0.01169	0.0	0.0	0.0	0.03003	0.01034	0.01919	0.02145	0.02613
s__GGB6572_SGB9285	0.0	0.0285	0.1232	5.67886	1.30937	5.00658	0.0	2.89686	0.0	0.0	0.0	0.0	0.0	0.0	2.89915	1.32358
s__Dysgonomonas_alginatilytica	0.0	0.02374	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Clostridium_gasigenes	0.0	0.02361	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Dysgonomonas_sp_ZJ279	0.0	0.0208	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Oscillospiraceae_unclassified_SGB15257	0.0	0.02017	0.0	0.0	0.0	0.0	0.0	0.26938	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Firmicutes_unclassified_SGB47660	0.0	0.01947	0.0	0.0	0.1698	0.0905	0.04851	0.1722	0.25563	0.33896	0.31067	0.5368	0.01649	0.01703	2.0709	3.55581
s__GGB15779_SGB24021	0.0	0.01824	0.02556	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01549	0.0	0.0	0.0
s__Phocaeicola_massiliensis	0.0	0.01691	0.44859	0.0	0.69099	0.0	7.38354	1.39234	2.73457	5.42139	0.68988	0.71087	1.10631	0.09938	3.74352	10.52522
s__Peptacetobacter_hiranonis	0.0	0.01649	0.25157	0.09071	0.6839	0.96999	0.0992	0.45633	0.34549	0.67838	0.40936	0.27208	0.11173	0.09094	1.04203	1.34548
s__Clostridium_sp_NSJ_6	0.0	0.01064	0.0	0.11014	0.02927	0.11286	0.0	0.20875	1.07336	1.02667	0.0	0.0	0.0	0.0	0.0	0.00128
s__Phocaeicola_vulgatus	0.0	0.00856	0.3539	0.03368	0.11683	0.02669	6.57577	0.96944	0.84959	1.01012	0.51128	1.53896	0.39441	0.05236	2.70306	4.01179
s__GGB9559_SGB69175	0.0	0.0084	0.0	0.0	0.0	0.0	0.0	0.01624	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Clostridium_SGB6177	0.0	0.00827	0.0	0.0	0.0	0.64185	0.0	0.63985	0.0	0.0	0.0	0.0	0.34327	0.0	0.0	0.0
