TAXID,MS11679_kraken_2024-standard_conf0,MS11669_kraken_2024-standard_conf0,MS11774_kraken_2024-standard_conf0,MS11675_kraken_2024-standard_conf0,MS11683_kraken_2024-standard_conf0,MS11686_kraken_2024-standard_conf0,MS11673_kraken_2024-standard_conf0,MS11771_kraken_2024-standard_conf0,MS11775_kraken_2024-standard_conf0,MS11677_kraken_2024-standard_conf0,MS11670_kraken_2024-standard_conf0,MS11770_kraken_2024-standard_conf0,MS11676_kraken_2024-standard_conf0,MS11674_kraken_2024-standard_conf0,MS11684_kraken_2024-standard_conf0,MS11678_kraken_2024-standard_conf0
1122611,228.0,0.0,1840.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107.0,235.0
2219224,187.0,0.0,1133.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,105.0,181.0
1291556,131.0,0.0,477.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,154.0
2005,338.0,0.0,2560.0,0.0,212.0,291.0,0.0,112.0,0.0,127.0,0.0,0.0,0.0,0.0,321.0,577.0
2614687,142.0,0.0,1113.0,0.0,0.0,154.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,138.0,268.0
83676,139.0,0.0,557.0,4673.0,953.0,205.0,0.0,2422.0,0.0,121.0,0.0,0.0,0.0,0.0,692.0,172.0
85008,56270.0,8873.0,23834.0,9016.0,27204.0,16198.0,4805.0,5454.0,958.0,13533.0,3594.0,9923.0,14797.0,791.0,4346.0,43658.0
28056,56270.0,8873.0,23834.0,9016.0,27204.0,16198.0,4805.0,5454.0,958.0,13533.0,3594.0,9923.0,14797.0,791.0,4346.0,43658.0
1873,49959.0,6832.0,17507.0,7335.0,22364.0,14127.0,3951.0,4283.0,633.0,6803.0,2387.0,8374.0,13431.0,629.0,3379.0,38377.0
47871,16396.0,3363.0,2756.0,2226.0,8639.0,270.0,1963.0,2289.0,105.0,2349.0,0.0,3637.0,8008.0,136.0,838.0,12935.0
709883,3860.0,105.0,544.0,212.0,1342.0,2020.0,0.0,0.0,0.0,0.0,645.0,601.0,132.0,0.0,212.0,1816.0
